category,title,link,price,currency,slot
Iphone 15,النظم السياسية 1-6 اجزاء,https://www.alifstores.com/%D8%A7%D9%84%D9%86%D8%B8%D9%85-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-1-6-%D8%A7%D8%AC%D8%B2%D8%A7%D8%A1.html,788.00,QAR,Only 2 left
Iphone 15,Isomars Sit-n-Standing Desk,https://www.alifstores.com/isomars-sit-n-standing-desk.html,1490.00,QAR,Only 3 left
Iphone 15,Cricut Mug Press Starter Bundle,https://www.alifstores.com/cricut-mug-press-starter-bundle.html,1119.00,QAR,Only 2 left
Iphone 15,POLYCHROMOS ARTISTS COLOR PENCILS TIN OF 120 COLOR + CD ROM,https://www.alifstores.com/polychromos-artists-color-pencils-tin-of-120-color-cd-rom.html,1000.00,QAR,
Iphone 15,Cricut Atmosphere 9X9 UK (Easy Press 3),https://www.alifstores.com/cricut-atmosphere-9-9-uk-easy-press-3.html,979.00,QAR,Only 1 left
Iphone 15,"Professional Drawing Set of 52 pcs- SELECTION, wooden box",https://www.alifstores.com/professional-drawing-set-of-52-pcs-selection-wooden-box.html,925.00,QAR,
Iphone 15,Cricut Easypress 2 9X9 Raspberry - UK,https://www.alifstores.com/cricut-easypress-2-9-9-raspberry-uk.html,859.00,QAR,Only 1 left
Iphone 15,"SCHMINCKE Watercolor Paint set of 10x15ml, Horadam",https://www.alifstores.com/schmincke-watercolor-paint-set-of-10x15ml-horadam.html,800.00,QAR,
Iphone 15,"SCHMINCKE Watercolor Paint set of 18x5ml, Horadam",https://www.alifstores.com/schmincke-watercolor-paint-set-of-18x5ml-horadam.html,800.00,QAR,Only 2 left
Iphone 15,Cricut Joy,https://www.alifstores.com/cricut-joy.html,799.00,QAR,Only 2 left
Iphone 15,"Drawing Table - Artscholar B2 with T - Square - A1 - 25 x36"" + 15 X 17"" without stool",https://www.alifstores.com/isomars-drawing-table-artscholar-b-with-board-a1-5-x36-15-x-17-without-stool.html,769.00,QAR,Only 1 left
Iphone 15,"Drawing Table - Artscholar B2 - with Board - A1 - 25 x36"" + 15 X 17"" without stool",https://www.alifstores.com/drawing-table-artscholar-b-with-t-square-a1-5-x36-15-x-17-without-stool.html,715.00,QAR,Only 1 left
Iphone 15,"Rosa Stretched Canvas, 200X220 –°m, Extra Fine Grain, Acrylic Prime, Cotton, Rosa Gallery",https://www.alifstores.com/rosa-stretched-canvas-00x-0-%E2%80%94%C3%85m-extra-fine-grain-acrylic-prime-cotton-rosa-gallery.html,670.00,QAR,Only 2 left
Iphone 15,Tool - Wr - Mold Press,https://www.alifstores.com/tool-wr-mold-press.html,579.00,QAR,Only 1 left
Iphone 15,Easel StdoHvyDty 56x61x24cmWd/Bh/E,https://www.alifstores.com/easel-stdohvydty-56x61x-4cmwd-bh-e.html,550.00,QAR,Only 1 left
Iphone 15,Acrylic Paint Set 8x60ml PRIMAcryl SCHMINCKE,https://www.alifstores.com/acrylic-paint-set-8x60ml-primacryl-schmincke.html,550.00,QAR,Only 4 left
Iphone 15,"IdeaPad 3 15ITL6 (i3-1115G4, 4GB, 256GB, 15.6"" FHD, Grey, FP, Win11) (82H803J5AX)",https://www.alifstores.com/ideapad-3-15itl6-i3-1115g4-4gb-256gb-15-6-fhd-grey-fp-win11-82h803j5ax.html,1399.00,QAR,Only 1 left
Iphone 15,"TAG TOP III Plus 15.6""  i7, 256GB SSD/ 1TB HDD. Windows 11. Intel® Iris® Xe Graphics, Gen12, 8 GB DD",https://www.alifstores.com/tag-top-iii-plus-15-6-i7-256gb-ssd-1tb-hdd-windows-11-intel-iris-xe-graphics-gen12-8-gb-dd.html,1999.00,QAR,
Iphone 15,"Dell Inspiron Laptop INS-16-5620-i5-1235U, 8GB, 512GB SSD, Intel(R) UHD Graphics, 16.0"" FHD",https://www.alifstores.com/dell-inspiron-laptop-ins-16-5620-i5-1235u-8gb-512gb-ssd-intel-r-uhd-graphics-16-0-fhd.html,2199.00,QAR,Only 5 left
Iphone 15,"Asus Vivobook Intel Core i5,8GB RAM,512GB SSD,2GB VGA,15.6"" FHD, Windows 11",https://www.alifstores.com/asus-vivobook-intel-core-i5-8gb-ram-512-gb-ssd-2gb-vga-15-6-inches-fhd-windows-11.html,2399.00,QAR,Only 2 left
Iphone 15,Acer Aspire 5 NB A5 15F i5 1135G7 8 512 2DMX450 W11 SL,https://www.alifstores.com/acer-aspire-5-a515-inch-i5-1135g78gb-ram-51-gb-ssd-dmx450windows-11-silver.html,2399.00,QAR,Only 2 left
Iphone 15,Acer Aspire 5 Laptop NB A5 14F i5 1135G7 8 512 2DMX350 W11 SL,https://www.alifstores.com/acer-aspire-5-laptop-a514-inch-i5-1135g78gb-ram-51-ssd-windows-11-silver.html,2399.00,QAR,Only 2 left
Iphone 15,"IdeaPad 1 15IAU7 i5-1235U 8GB RAM, 512GB SSD, 15.6"" FHD, Win11 - Grey ",https://www.alifstores.com/ideapad-1-15iau7-i5-1-35u-8gb-ram-51-gb-ssd-15-6-fhd-win11-grey.html,2599.00,QAR,Only 2 left
Iphone 15,"HP Pav x360 Convert 14-dy0016ne Core i3-1125G4 4GB DDR4 256GB SSD  Intel Iris Xe  14""  FHD - Silver",https://www.alifstores.com/hp-pav-x360-convert-14-dy0016ne-core-i3-11-5g4-4gb-ddr4-56gb-ssd-intel-iris-xe-14-fhd.html,2599.00,QAR,Only 1 left
Iphone 15,"HP Laptop 15s-fq5002ne 15.6""FHD,Intel® Core™ i5, 8GB RAM, 512GB SSD ,Windows 11 - Silver",https://www.alifstores.com/hp-laptop-15s-fq500-ne-15-6-fhd-intel-%C3%A6-core-i5-8gb-ram-51-gb-ssd-windows-11-silver.html,2599.00,QAR,Only 2 left
